QuotaAmount,StartDate,OwnerName,Username,ProductFamily
1182160,2021-01-01,George Clooney,George.Clooney@abc.org,
1004431,2021-04-01,George Clooney,George.Clooney@abc.org,
610230,2021-07-01,George Clooney,George.Clooney@abc.org,
803179,2021-10-01,George Clooney,George.Clooney@abc.org,
1123260,2021-01-01,George Clooney,George.Clooney@abc.org,Loan
32974329,2021-04-01,George Clooney,George.Clooney@abc.org,Loan
34534,2021-07-01,George Clooney,George.Clooney@abc.org,Loan
567568,2021-10-01,George Clooney,George.Clooney@abc.org,Loan
1123260,2021-01-01,George Clooney,George.Clooney@abc.org,Investment
32974329,2021-04-01,George Clooney,George.Clooney@abc.org,Investment
34534,2021-07-01,George Clooney,George.Clooney@abc.org,Investment
567568,2021-10-01,George Clooney,George.Clooney@abc.org,Investment
